1000m        1 SIM 1000公里
MIGLIA       2 SIM 1000米利亞
10SC         3 SIM 1-0足球經理
1830         4 PUZ 1830鐵路公爵
1869         5 SIM 1869大航海
TF1942       6 SIM 1942特種部隊
MIS          7 SPG 2001特遣隊
2601         8 SLG 2601帝國聯合艦隊
WTRIS        9 PUZ 3D俄羅斯
3DCUBE      10 PUZ 3D魔方
astro3d     11 ACT 3D隕石
3dbomber    12 ACT 3D炸彈人
3dtable     13 SIM 3D桌上體育
3x3         14 HGA 3x3隻眼
TENNIS      15 SIM 4D網球
ZONE66      16 ACT 66區
688EA       17 SIM 688攻擊潛艇
DOG         18 SIM 80年空中激鬥
WC94        19 SIM 94美國世界盃
FRUIT97     20 HGA 97超少女
a320        21 SIM A320空中客機
alpha       22 ACT ALPHA風暴
B17         23 SIM B17飛行堡壘
BOPPIN      24 PUZ BOPPIN物理遊戲
collslam    25 SIM CBA嘉年華
DOT         26 PUZ Dvorak打字
CDGAMES     27 ACT D計劃
ES          28 HGA ES方程式
F14FD       29 SIM F14戰機
F15         30 SIM F15戰鬥機
F1          31 SIM F1賽車1994
F1MAN       32 SIM F1賽車經理
FIFA96      33 SIM FIFA1996
FIFA97      34 SIM FIFA97
FX          35 ACT FX戰士
GEEKWAD     36 PUZ GEEK遊戲集
GP500       37 SIM GP500摩托賽
gt97        38 SIM GT賽車97
intrplay    39 SLG MAX機械突襲
NBAJAM      40 SIM NBA嘉年華
BBV         41 SIM NBA直播
NECTARIS    42 SPG Nectaris
PCE         43 ACT PCE合集(執行PCE+文件名)
PCRALLY     44 SIM PC拉力賽
PRE1        45 ACT PC原人
PRE2        46 ACT PC原人2
MANJICD     47 RPG PSY幽記
QSANGO      48 RPG QQ三國志
RS2         49 ACT RS2
suflan      50 SIM SU27側翼部隊
vwing       51 ACT V字戰機
xatax       52 ACT XATAX戰機
PROJECTX    53 ACT X計劃
xquest      54 ACT X任務
YAB         55 SIM YAB棒球
YESHG       56 HGA YES！HG
Z           57 RTS Z字特工隊
ALBION      58 RPG 阿爾比恩
aks         59 RPG 阿卡尼亞之地莉娃陰影
BLADE1      60 RPG 阿卡尼亞之地命運之刃
AKSTAR      61 RPG 阿卡尼亞之地星痕
ALCATRAZ    62 ACT 阿卡特茲
ALQADIM     63 ACT 阿拉丁2燈神詛咒
ALADIN      64 ACT 阿拉丁傳奇
aleshar     65 RPG 阿蕾莎冰封世界
armada25    66 SLG 阿曼達2525
